,date_of_submission,multi_country,doc_number,region_of_disaster,total_count,total_funding_provided,currency,operational_strategy
70,07/Jan/2025,True,MDRSO017,"Somaliland and Puntland, Somalia",24500,499964,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Somalia', 'action_description': 'Training volunteers, deploying ORPs, providing medical treatment, and conducting awareness campaigns.', 'people_reached': {'total': 20517}, 'funding_used': 224688}], 'total_action_funding': 224688}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Distribution of WASH kits, construction of latrines, environmental cleaning, and hygiene promotion.', 'people_reached': {'total': 24126}, 'funding_used': 192861}], 'total_action_funding': 192861}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Mainstreaming PGI in all sectors, training volunteers, and distributing IEC materials.', 'people_reached': {'total': 2000}, 'funding_used': 5374}], 'total_action_funding': 5374}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Engaging communities through meetings, feedback mechanisms, and training volunteers.', 'people_reached': {'total': 16000}, 'funding_used': 9266}], 'total_action_funding': 9266}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Somalia', 'action_description': 'Monitoring missions, financial spot checks, and logistics support.', 'people_reached': {'total': 4}, 'funding_used': 15332}], 'total_action_funding': 15332}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Somalia', 'action_description': 'Joint monitoring visits, training volunteers, and providing PPEs.', 'people_reached': {'total': 470}, 'funding_used': 52443}], 'total_action_funding': 52443}]"
71,2024-01-02,False,MDRSS012,"Upper Nile, South Sudan",33323,158035,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'South Sudan', 'action_description': 'Cholera prevention through community awareness, social mobilization, and distribution of WASH NFIs.', 'people_reached': {'total': 33323}, 'funding_used': 58433}], 'total_action_funding': 58433}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'South Sudan', 'action_description': 'Sustaining and scaling up water, sanitation, and hygiene services to prevent cholera spread.', 'people_reached': {'total': 33323}, 'funding_used': 44419}], 'total_action_funding': 44419}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'South Sudan', 'action_description': 'Conducting community consultations and disseminating feedback to improve cholera response.', 'people_reached': {'total': 33323}, 'funding_used': 4279}], 'total_action_funding': 4279}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'South Sudan', 'action_description': 'Regularly briefing volunteers on security, providing PPEs, and conducting training and feedback sessions.', 'people_reached': {'total': 0}, 'funding_used': 45263}], 'total_action_funding': 45263}]"
72,20/Nov/2023,False,MDRTJ035,"Kuhistoni Mastchoh district, Sughd province, Tajikistan",1908,188888,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Tajikistan', 'action_description': 'Provided construction toolboxes to 318 affected households to ensure timely construction works.', 'people_reached': {'total': 1908}, 'funding_used': 2526}], 'total_action_funding': 20157}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Tajikistan', 'action_description': 'Distributed cash grants to 318 families whose homes were fully or partially destroyed.', 'people_reached': {'total': 1908}, 'funding_used': 127306}], 'total_action_funding': 112195}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Tajikistan', 'action_description': 'Distributed hygiene kits and conducted hygiene promotion sessions among affected individuals.', 'people_reached': {'total': 1908}, 'funding_used': 13699}], 'total_action_funding': 11831}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Tajikistan', 'action_description': 'Ensured inclusive and gender-sensitive distribution process, addressing the needs of vulnerable individuals.', 'people_reached': {'total': 1908}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Tajikistan', 'action_description': 'Integrated CEA principles into all activities, involving community in decision-making and feedback mechanisms.', 'people_reached': {'total': 1908}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Tajikistan', 'action_description': ""Strengthened RCST staff and volunteers' capacity to respond to disasters through training and resource allocation."", 'people_reached': {'total': 0}, 'funding_used': 37785}], 'total_action_funding': 37243}]"
73,2024-02-20,False,MDRTT002,Trinidad and Tobago,1250,133688,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Distributed 360 blankets to high-risk areas and emergency shelters.', 'people_reached': {'total': 360}, 'funding_used': 6890}], 'total_action_funding': 7056}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Provided cash grants using pre-paid VISA Debit Cards to support the most vulnerable households.', 'people_reached': {'total': 488}, 'funding_used': 43452}], 'total_action_funding': 43452}, {'action': 'Health', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Conducted public health education and promotion workshops, and provided primary health care services.', 'people_reached': {'total': 128}, 'funding_used': 13332}], 'total_action_funding': 13845}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Distributed cleaning and hygiene kits to affected households.', 'people_reached': {'total': 595}, 'funding_used': 22926}], 'total_action_funding': 23378}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Engaged community through various media to ensure clarity on services provided.', 'people_reached': {'total': 500}, 'funding_used': 14342}], 'total_action_funding': 10224}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Trinidad and Tobago', 'action_description': 'Provided budgetary support toward staff coverage and volunteer insurance.', 'people_reached': {'total': 70}, 'funding_used': 14489}], 'total_action_funding': 24551}]"
74,2024-04-15,False,MDRTZ033,"Kagera, Tanzania",863506,489805,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Reduce mortality and transmission risk by supporting outbreak management focusing on RCCE, Hygiene Promotion, and Safe and Dignified Burials.', 'people_reached': {'total': 863506}, 'funding_used': 257331}], 'total_action_funding': 257331}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Install handwashing facilities, distribute hygiene materials, and promote hygiene awareness in health centers and communities.', 'people_reached': {'total': 863506}, 'funding_used': 25560}], 'total_action_funding': 25560}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Prevent stigmatization and rejection of affected people, volunteers, and survivors by promoting protection, gender, and inclusion standards.', 'people_reached': {'total': 122}, 'funding_used': 1127}], 'total_action_funding': 1127}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Conduct RCCE activities to provide information and sensitization on MVD, including house-to-house visits, community meetings, and focus group discussions.', 'people_reached': {'total': 2608679}, 'funding_used': 11512}], 'total_action_funding': 11512}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Deploy surge profiles, conduct monitoring missions, and support the positioning of the National Society in the coordination system.', 'funding_used': 61180}], 'total_action_funding': 61180}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Activate and maintain a National Emergency Operation Centre, mobilize volunteers, and ensure safety and care of volunteers.', 'funding_used': 106500}], 'total_action_funding': 106500}]"
75,2023-11-16,False,MDRTZ034,"Mtwara, Tanzania",1400,133589,CHF,"[{'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Support families in evacuation centers with basic household items and repair damaged houses.', 'people_reached': {'total': 1400}, 'funding_used': 31409}], 'total_action_funding': 31409}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Provide access to clean drinking water, sanitation facilities, and hygiene promotion.', 'people_reached': {'total': 1400}, 'funding_used': 54301}], 'total_action_funding': 54301}, {'action': 'Health', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Provide psychosocial support and mass awareness on water-borne diseases.', 'people_reached': {'total': 1400}, 'funding_used': 4090}], 'total_action_funding': 4090}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Create awareness on SGBV, PSEA, and child safeguarding in evacuation centers.', 'people_reached': {'total': 1400}, 'funding_used': 2343}], 'total_action_funding': 2343}, {'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Support affected populations with subsistence farming and small trading.', 'people_reached': {'total': 1400}, 'funding_used': 2556}], 'total_action_funding': 2556}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Enhance community engagement and accountability through feedback mechanisms.', 'people_reached': {'total': 1400}, 'funding_used': 6092}], 'total_action_funding': 6092}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Tanzania', 'action_description': 'Support volunteers with PPE, training, and insurance.', 'people_reached': {'total': 20}, 'funding_used': 26196}], 'total_action_funding': 26196}]"
76,2023-08-31,False,MDRUY004,Uruguay,12000,381390,CHF,"[{'action': 'Livelihoods', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Cash transfer program for the recovery and/or protection of the livelihoods of 191 families.', 'people_reached': {'total': 527}, 'funding_used': 119003}], 'total_action_funding': 119003}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Awareness talks on water care, potabilization and correct storage of water to 5,514 people.', 'people_reached': {'total': 5514}, 'funding_used': 66592}], 'total_action_funding': 66592}, {'action': 'Multipurpose Cash', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Multipurpose transfer program for 113 families in the department of Florida.', 'people_reached': {'total': 500}, 'funding_used': 59315}], 'total_action_funding': 59315}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Purchase of equipment to conduct assessment and data collection.', 'people_reached': {'total': 0}, 'funding_used': 48479}], 'total_action_funding': 48479}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Distribution of information material on the cash transfer program and sensitizations with families.', 'people_reached': {'total': 5000}, 'funding_used': 2130}], 'total_action_funding': 2130}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Uruguay', 'action_description': 'Deployment of Surge WASH Coordinator, CVA Coordinator, and Humanitarian Information Analysis Officer.', 'people_reached': {'total': 0}, 'funding_used': 85360}], 'total_action_funding': 85360}]"
77,31-10-2023,False,MDRVE008,Venezuela,4125,207890,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Procurement and pre-positioning of consumables for first aid kits as a readiness measure to support first aid provision.', 'people_reached': {'total': 2319}, 'funding_used': 14133}], 'total_action_funding': 14133}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Venezuela', 'action_description': 'WASH promotion sessions for communities to 500 families to help them understand how to protect existing water sources and sanitation to prevent waterways from becoming blocked.', 'people_reached': {'total': 3500}, 'funding_used': 92278}], 'total_action_funding': 92278}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Training for staff and volunteers of branches in priority states in PGI minimum standards, socialization of child protection policy, Protection from Sexual Exploitation and Abuse (PSEA) policy, code of conduct, WASH with PGI approach, addressing Menstrual Hygiene Management needs.', 'people_reached': {'total': 2000}, 'funding_used': 2878}], 'total_action_funding': 2878}, {'action': 'Disaster Risk Reduction (DRR)', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Training of volunteers to participate in the community preparation phase of the Enhanced Vulnerability and Capacity Assessment (EVCA).', 'people_reached': {'total': 3896}, 'funding_used': 22303}], 'total_action_funding': 22303}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Training of the VRC volunteers in priority states on community engagement and accountability, feedback mechanisms and the feedback cycle.', 'people_reached': {'total': 2000}, 'funding_used': 1035}], 'total_action_funding': 1035}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Monitoring missions carried out to support the VRC in coordinating procurement, shipping and distribution processes.', 'funding_used': 39093}], 'total_action_funding': 39093}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Venezuela', 'action_description': 'Recruitment of staff and reinforcement of communication systems in branches.', 'funding_used': 36151}], 'total_action_funding': 36151}]"
78,31-03-2024,False,MDRVN023,Viet Nam,38095,400344,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Viet Nam', 'action_description': '100 households received conditional cash for shelter repair with VND 15,000,000 (CHF 550) per household.', 'people_reached': {'total': 477, 'male': 240, 'female': 237}, 'funding_used': 77191}], 'total_action_funding': 77191}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Viet Nam', 'action_description': '330 households received conditional cash for livelihood restoration with VND 5,000,000 (CHF 200) per household.', 'people_reached': {'total': 1643, 'male': 836, 'female': 807}, 'funding_used': 79321}], 'total_action_funding': 79321}, {'action': 'Multi-purpose Cash Grants', 'executed_in': [{'country': 'Viet Nam', 'action_description': '1,176 households received multi-purpose cash grants.', 'people_reached': {'total': 6025, 'male': 3016, 'female': 3009}, 'funding_used': 127204}], 'total_action_funding': 127204}, {'action': 'Health', 'executed_in': [{'country': 'Viet Nam', 'action_description': '33 VNRC personnel trained on PFA and PFA brochures distributed.', 'people_reached': {'total': 4402, 'male': 2185, 'female': 2184}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Viet Nam', 'action_description': '150 water tanks and one RO water purifier distributed, hygiene promotion activities conducted.', 'people_reached': {'total': 10399, 'male': 4996, 'female': 5403}, 'funding_used': 53037}], 'total_action_funding': 53037}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Viet Nam', 'action_description': 'PGI messages integrated into sectoral activities and WASH and health emergency training.', 'people_reached': {'total': 4369}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Viet Nam', 'action_description': 'Training on livelihood restoration and working with nature, and lesson-learned workshop conducted.', 'people_reached': {'total': 61}, 'funding_used': 25933}], 'total_action_funding': 25933}]"
79,08-03-2023,False,MDRVU010,Vanuatu,20000,799389,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Provide emergency shelter assistance and essential household items to affected households.', 'people_reached': {'total': 30090}, 'funding_used': 246731}], 'total_action_funding': 246731}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Support affected families with multi-purpose cash grants to meet basic needs.', 'people_reached': {'total': 5104}, 'funding_used': 173100}], 'total_action_funding': 173100}, {'action': 'Health', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Deliver key health awareness messages and provide first aid and psychosocial support.', 'people_reached': {'total': 4094}, 'funding_used': 39938}], 'total_action_funding': 39938}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Distribute hygiene-related items and conduct hygiene promotion sessions.', 'people_reached': {'total': 20800}, 'funding_used': 69006}], 'total_action_funding': 69006}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Address PGI issues and provide solar lanterns to affected communities.', 'people_reached': {'total': 3180}, 'funding_used': 8520}], 'total_action_funding': 8520}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Implement feedback mechanisms and engage with the community.', 'people_reached': {'total': 4995}, 'funding_used': 17040}], 'total_action_funding': 17040}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Insure volunteers and provide them with protective equipment and training.', 'people_reached': {'total': 461}, 'funding_used': 205900}], 'total_action_funding': 205900}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Vanuatu', 'action_description': 'Deploy surge personnel and support financial monitoring.', 'people_reached': None, 'funding_used': 22365}], 'total_action_funding': 22365}]"
80,05-11-2023,False,MDRYE012,Yemen,24500,535562,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Yemen', 'action_description': 'Replenishment and distribution of household items to affected households.', 'people_reached': {'total': 24500}, 'funding_used': 400626}], 'total_action_funding': 400626}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Yemen', 'action_description': 'Replenishment and distribution of hygiene kits and plastic buckets, and conducting hygiene promotion sessions.', 'people_reached': {'total': 24500}, 'funding_used': 116831}], 'total_action_funding': 116831}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Yemen', 'action_description': 'Deployment of volunteers and staff for emergency response, and conducting lessons learned workshop.', 'people_reached': {'total': 290}, 'funding_used': 13313}], 'total_action_funding': 13313}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Yemen', 'action_description': 'Deployment of finance advisor to support the operation.', 'people_reached': {'total': 1}, 'funding_used': 4793}], 'total_action_funding': 4793}]"
81,2023-02-19,False,MDRZA013,South Africa,12500,499978,CHF,"[{'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'South Africa', 'action_description': 'Provide access to clean drinking water and hygiene promotion on disease outbreaks.', 'people_reached': {'total': 12500}, 'funding_used': 12031}], 'total_action_funding': 12031}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'South Africa', 'action_description': 'Raise awareness on SGBV, Child Protection, PSEA, and PGI. Create safe referral pathways for counseling.', 'people_reached': {'total': 12500}, 'funding_used': 1388}], 'total_action_funding': 1388}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'South Africa', 'action_description': 'Engage community leaders during assessments and target them. Establish methods to share information with communities.', 'people_reached': {'total': 12500}, 'funding_used': 9254}], 'total_action_funding': 9254}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'South Africa', 'action_description': 'Conduct monitoring missions and provide technical and communications support.', 'people_reached': {'total': 3}, 'funding_used': 3085}], 'total_action_funding': 3085}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'South Africa', 'action_description': 'Conduct field supervision and provide technical support to the team involved in operations.', 'people_reached': {'total': 190}, 'funding_used': 70085}], 'total_action_funding': 70085}, {'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'South Africa', 'action_description': 'Provide blankets and mattresses to households.', 'people_reached': {'total': 5000}, 'funding_used': 63238}], 'total_action_funding': 63238}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'South Africa', 'action_description': 'Conduct detailed assessments and provide cash grants to households.', 'people_reached': {'total': 12000}, 'funding_used': 326832}], 'total_action_funding': 326832}, {'action': 'Health', 'executed_in': [{'country': 'South Africa', 'action_description': 'Provide PFA and PSS services in shelters and sensitize on COVID-19, measles, and cholera.', 'people_reached': {'total': 12500}, 'funding_used': 14067}], 'total_action_funding': 14067}]"
82,2023-12-19,False,MDRZM018,"Eastern, Luapula, Lusaka, Southern, Muchinga",3875924,473600,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Zambia', 'action_description': 'Contributing towards stopping the cholera outbreak through improved hygiene and health behaviors, interrupting the chain of transmission, strengthening access to case management, and providing information to communities.', 'people_reached': {'total': 3875924}, 'funding_used': 74891}], 'total_action_funding': 74891}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Zambia', 'action_description': 'Promoting proper hygiene practices, safe water handling, and use of sanitation facilities through various channels including radio programs, community meetings, and door-to-door visits.', 'people_reached': {'total': 3875924, 'male': 1860444, 'female': 2015479}, 'funding_used': 152081}], 'total_action_funding': 152081}, {'action': 'Protection, Gender & Inclusion', 'executed_in': [{'country': 'Zambia', 'action_description': 'Training volunteers in PGI and spreading PGI messages during door-to-door visits, ensuring no segregation and reaching out to 3875923 people.', 'people_reached': {'total': 3875923}, 'funding_used': 3111}], 'total_action_funding': 3111}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Zambia', 'action_description': 'Implementing a comprehensive community engagement strategy, conducting community meetings, and training volunteers in CEA/RCCE to ensure accurate information dissemination and community feedback.', 'people_reached': {'total': 3875924}, 'funding_used': 9332}], 'total_action_funding': 9332}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Zambia', 'action_description': 'Deploying NDRTs to support DREF operations, building links between NS and stakeholders, and supporting various aspects of the operation including logistics, community engagement, and data management.', 'people_reached': {'total': 1200}, 'funding_used': 160304}], 'total_action_funding': 160304}]"
83,2023-02-25,False,MDRZM019,"Southern Province, Zambia",8364,451422,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Zambia', 'action_description': 'Provide temporary shelter to displaced families and distribute household items such as blankets, sleeping mats, and mosquito nets.', 'people_reached': {'total': 8364}, 'funding_used': 181750}], 'total_action_funding': 181750}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Zambia', 'action_description': 'Provide unrestricted cash grants of 500 ZMW to 794 households for 3 months to meet their food and basic needs.', 'people_reached': {'total': 8364}, 'funding_used': 83908}], 'total_action_funding': 83908}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Zambia', 'action_description': 'Support the displaced population with temporary latrines and bathrooms, chlorine, water storage containers, and hygiene promotion.', 'people_reached': {'total': 8364}, 'funding_used': 63951}], 'total_action_funding': 63951}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Zambia', 'action_description': 'Train volunteers on PGI, PSEA, and CEA, ensure construction of gender-sensitive sanitation facilities.', 'people_reached': {'total': 8364}, 'funding_used': 8422}], 'total_action_funding': 8422}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Zambia', 'action_description': 'Train volunteers and set up feedback mechanisms to ensure community engagement and address rumors.', 'people_reached': {'total': 8364}, 'funding_used': 9031}], 'total_action_funding': 9031}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Zambia', 'action_description': 'Conduct monitoring visits, procure visibility materials, maintain vehicles, and conduct a lessons learned workshop.', 'people_reached': {'total': 8364}, 'funding_used': 93473}], 'total_action_funding': 93473}]"
84,28/May/2024,False,MDRZW022,Zimbabwe,10000,160105,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Zimbabwe', 'action_description': 'Deployment of first aid volunteers across the country to provide immediate medical assistance during the election period and voting process.', 'people_reached': {'total': 393}, 'funding_used': 59723}], 'total_action_funding': 59723}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Zimbabwe', 'action_description': 'Training of volunteers on Minimum Protection Approach, Safe Referral, prevention and mitigation of violence, code of ethics, and security policy Framework for Safer Access.', 'people_reached': {'total': 8708}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Zimbabwe', 'action_description': 'Promotion of health and safety messages, distribution of educational pamphlets and posters, and engagement with community networks.', 'people_reached': {'total': 7680}, 'funding_used': 14880}], 'total_action_funding': 14880}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Zimbabwe', 'action_description': 'Deployment of Emergency Response Teams (ERTs), training of volunteers in PFA, and provision of care to persons affected/injured before, during and after the 2023 General Elections.', 'people_reached': {'total': 1548}, 'funding_used': 96669}], 'total_action_funding': 96669}]"
